Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 28316_Rep1	Peptides 28316_Rep2	Peptides 28316_Rep3	Peptides 28317_Rep1	Peptides 28317_Rep2	Peptides 28317_Rep3	Peptides No_tag_Rep1	Razor + unique peptides 28316_Rep1	Razor + unique peptides 28316_Rep2	Razor + unique peptides 28316_Rep3	Razor + unique peptides 28317_Rep1	Razor + unique peptides 28317_Rep2	Razor + unique peptides 28317_Rep3	Razor + unique peptides No_tag_Rep1	Unique peptides 28316_Rep1	Unique peptides 28316_Rep2	Unique peptides 28316_Rep3	Unique peptides 28317_Rep1	Unique peptides 28317_Rep2	Unique peptides 28317_Rep3	Unique peptides No_tag_Rep1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 28316_Rep1	Identification type 28316_Rep2	Identification type 28316_Rep3	Identification type 28317_Rep1	Identification type 28317_Rep2	Identification type 28317_Rep3	Identification type No_tag_Rep1	Sequence coverage 28316_Rep1 [%]	Sequence coverage 28316_Rep2 [%]	Sequence coverage 28316_Rep3 [%]	Sequence coverage 28317_Rep1 [%]	Sequence coverage 28317_Rep2 [%]	Sequence coverage 28317_Rep3 [%]	Sequence coverage No_tag_Rep1 [%]	Intensity	Intensity 28316_Rep1	Intensity 28316_Rep2	Intensity 28316_Rep3	Intensity 28317_Rep1	Intensity 28317_Rep2	Intensity 28317_Rep3	Intensity No_tag_Rep1	iBAQ	iBAQ 28316_Rep1	iBAQ 28316_Rep2	iBAQ 28316_Rep3	iBAQ 28317_Rep1	iBAQ 28317_Rep2	iBAQ 28317_Rep3	iBAQ No_tag_Rep1	LFQ intensity 28316_Rep1	LFQ intensity 28316_Rep2	LFQ intensity 28316_Rep3	LFQ intensity 28317_Rep1	LFQ intensity 28317_Rep2	LFQ intensity 28317_Rep3	LFQ intensity No_tag_Rep1	MS/MS count 28316_Rep1	MS/MS count 28316_Rep2	MS/MS count 28316_Rep3	MS/MS count 28317_Rep1	MS/MS count 28317_Rep2	MS/MS count 28317_Rep3	MS/MS count No_tag_Rep1	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YJL052W	YJL052W	34	34	34	sp|YJL052W|TDH1_YEAST NCSL01000002.1 133536-134534 ORF Verified Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 1; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphogl	1	34	34	34	32	21	23	15	23	23	19	32	21	23	15	23	23	19	32	21	23	15	23	23	19	78.6	78.6	78.6	35.705	332	332	0	290.87	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	76.2	73.8	77.1	48.8	77.1	77.1	60.2	9655900000	4143500000	852770000	1926100000	45465000	1408600000	822910000	456560000	438900000	188340000	38762000	87549000	2066600	64026000	37405000	20753000	673050000	370330000	407860000	181920000	320480000	376350000	312590000	95	41	46	8	46	44	27	307				1132	6;1672;1935;2357;2358;2792;2793;5041;5334;5335;5350;5538;5584;5585;5690;5691;6796;6932;7070;7283;8054;8912;8913;13122;13967;13968;14582;14775;14978;15249;15250;15301;15625;15844	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	6;1766;1767;2050;2501;2502;2955;2956;5331;5650;5651;5666;5865;5912;5913;6021;6022;7186;7327;7328;7474;7698;7699;8514;9425;9426;9427;13965;14860;14861;15521;15522;15523;15721;15932;16219;16220;16273;16274;16621;16849	18;19;20;6534;6535;6536;6537;6538;6539;6540;6541;6542;6543;6544;6545;7445;7446;7447;7448;7449;7450;7451;8990;8991;8992;8993;8994;8995;8996;8997;8998;8999;9000;9001;10742;10743;10744;10745;10746;10747;10748;10749;10750;18981;18982;18983;18984;18985;18986;18987;18988;18989;18990;18991;20247;20248;20249;20250;20251;20252;20305;21017;21018;21019;21020;21021;21022;21023;21161;21162;21163;21164;21165;21166;21167;21168;21169;21170;21171;21450;21451;21452;21453;21454;21455;21456;21457;21458;21459;25383;25384;25385;25386;25387;25388;25389;25390;25391;25392;25393;25394;25395;25396;25397;25398;25399;25400;25401;25402;25403;25404;25405;25406;25407;25408;25409;25410;25411;25412;25413;25414;25415;25888;25889;25890;25891;25892;25893;25894;26308;26972;26973;26974;26975;29921;29922;29923;29924;29925;29926;33061;33062;33063;33064;33065;33066;33067;33068;33069;33070;33071;33072;33073;33074;33075;33076;33077;33078;33079;33080;33081;33082;33083;33084;33085;33086;33087;33088;33089;33090;33091;48625;48626;48627;48628;48629;48630;48631;48632;48633;48634;48635;48636;48637;48638;48639;48640;48641;48642;48643;48644;48645;48646;48647;48648;48649;48650;51823;51824;51825;51826;51827;51828;51829;51830;51831;51832;51833;51834;54582;54583;54584;54585;54586;54587;54588;54589;54590;54591;54592;54593;54594;54595;54596;54597;54598;54599;54600;54601;54602;54603;54604;54605;54606;54607;54608;54609;54610;54611;54612;54613;54614;54615;54616;54617;54618;54619;54620;54621;54622;54623;54624;54625;54626;54627;54628;54629;54630;54631;55324;55325;55326;55327;55328;55329;55330;56050;56051;56052;56053;56054;56055;56056;56057;56058;56059;56060;56061;56062;56063;56064;56065;56066;56067;56068;56069;56070;56071;56072;56073;56074;56075;56076;56077;56078;56079;56080;56081;56082;56083;56084;56085;56086;56087;56088;56089;56090;56091;56092;56093;56094;56095;56096;56097;56098;56099;56100;57089;57090;57091;57092;57093;57094;57095;57096;57097;57098;57099;57307;57308;57309;57310;57311;57312;57313;57314;57315;57316;57317;57318;57319;57320;57321;57322;58615;58616;58617;58618;58619;58620;58621;58622;59405;59406;59407	16;5837;5838;5839;5840;5841;5842;5843;5844;5845;5846;5847;5848;6628;6629;6630;6631;6632;8023;8024;8025;8026;8027;8028;8029;9569;9570;9571;9572;9573;9574;9575;9576;9577;9578;16667;16668;16669;16670;16671;16672;16673;16674;16675;16676;17804;17805;17806;17807;17808;17851;18476;18477;18478;18479;18480;18609;18610;18611;18612;18613;18614;18615;18616;18617;18878;18879;18880;18881;18882;18883;18884;18885;18886;18887;18888;22313;22314;22315;22316;22317;22318;22319;22320;22321;22322;22323;22324;22325;22326;22327;22328;22329;22330;22331;22332;22333;22334;22335;22336;22337;22338;22339;22340;22341;22342;22343;22344;22345;22346;22347;22348;22349;22350;22351;22749;22750;22751;22752;22753;22754;22755;22756;22757;23104;23648;23649;23650;26278;26279;26280;26281;26282;26283;26284;26285;28992;28993;28994;28995;28996;28997;28998;28999;29000;29001;29002;29003;29004;29005;29006;29007;42811;42812;42813;42814;42815;42816;42817;42818;42819;42820;42821;42822;42823;42824;42825;42826;42827;42828;42829;42830;42831;42832;42833;42834;42835;42836;42837;42838;45600;45601;45602;45603;45604;45605;45606;45607;45608;48108;48109;48110;48111;48112;48113;48114;48115;48116;48117;48118;48119;48120;48121;48122;48123;48124;48125;48126;48127;48128;48129;48130;48131;48132;48133;48134;48135;48136;48137;48138;48139;48140;48141;48142;48143;48144;48145;48146;48147;48148;48149;48150;48151;48152;48153;48724;48725;48726;48727;49353;49354;49355;49356;49357;49358;49359;49360;49361;49362;49363;49364;49365;49366;49367;49368;49369;49370;49371;49372;49373;49374;49375;49376;49377;49378;49379;49380;49381;49382;49383;49384;49385;49386;49387;49388;49389;49390;49391;49392;49393;49394;49395;49396;49397;49398;49399;50245;50246;50247;50248;50249;50428;50429;50430;50431;50432;50433;50434;50435;50436;50437;50438;50439;50440;50441;50442;50443;51545;51546;51547;51548;51549;51550;52239;52240;52241	16;5837;6629;8023;8024;9571;9578;16668;17805;17808;17851;18478;18612;18616;18879;18887;22321;22755;23104;23649;26284;29004;29007;42821;45604;45608;48142;48725;49361;50246;50249;50442;51546;52239	945;946;947;948;949	44;128;173;179;229
YJL053W	YJL053W	1	1	1	sp|YJL053W|PEP8_YEAST NCSL01000002.1 131165-132304 ORF Verified Vacuolar protein component of the retromer; forms part of the multimeric membrane-associated retromer complex involved in vacuolar protein sorting along with Vps35p, Vps29p, Vps17p, and Vps5p;	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4.7	4.7	4.7	42.559	379	379	0	2.8562	By MS/MS							4.7	0	0	0	0	0	0	354280	354280	0	0	0	0	0	0	16103	16103	0	0	0	0	0	0	48364	0	0	0	0	0	0	1	0	0	0	0	0	0	1				1133	3151	True	3347	12096	10756	10756	950	308
YJL054W	YJL054W	1	1	1	sp|YJL054W|TIM54_YEAST NCSL01000002.1 129532-130968 ORF Verified Component of the mitochondrial TIM22 complex; involved in insertion of polytopic proteins into the inner membrane GN=TIM54 PE=1 SV=1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3.8	3.8	3.8	54.182	478	478	0	2.327	By MS/MS							3.8	0	0	0	0	0	0	200050	200050	0	0	0	0	0	0	6898.3	6898.3	0	0	0	0	0	0	27310	0	0	0	0	0	0	1	0	0	0	0	0	0	1				1134	14990	True	15944	56173	49456	49456		
YJL055W	YJL055W	2	2	2	sp|YJL055W|dubious551_YEAST NCSL01000002.1 128624-129361 ORF Uncharacterized Putative protein of unknown function; functions together with HAM1 to mediate resistance to 5-FU; specifically reduces the incorporation of 5-FU into RNA, without affecting uptake	1	2	2	2	2	0	0	0	1	0	0	2	0	0	0	1	0	0	2	0	0	0	1	0	0	14.7	14.7	14.7	26.891	245	245	0	3.8315	By MS/MS				By matching			14.7	0	0	0	6.5	0	0	3230800	2631600	0	0	0	599160	0	0	269230	219300	0	0	0	49930	0	0	359260	0	0	0	0	0	0	4	0	0	0	0	0	0	4				1135	747;9798	True;True	794;10448	3013;3014;36315	2654;2655;31857;31858	2655;31858		
YJL057C	YJL057C	2	2	2	sp|YJL057C|IKS1_YEAST NCSL01000002.1 123400-125403 ORF Verified Protein kinase of unknown cellular role; putative serine/threonine kinase; expression is induced during mild heat stress; deletion mutants are hypersensitive to copper sulphate and resistant t	1	2	2	2	2	0	0	0	0	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	2	4.2	4.2	4.2	75.348	667	667	0	30.412	By MS/MS						By MS/MS	4.2	0	0	0	0	0	4.2	840110	543770	0	0	0	0	0	296340	31115	20140	0	0	0	0	0	10975	74234	0	0	0	0	0	0	3	0	0	0	0	0	2	5				1136	4014;12307	True;True	4241;13099	15171;15172;45657;45658	13408;13409;13410;40199;40200	13408;40200		
YJL061W	YJL061W	5	5	5	sp|YJL061W|NUP82_YEAST NCSL01000002.1 115296-117437 ORF Verified Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associa	1	5	5	5	4	0	0	0	0	0	2	4	0	0	0	0	0	2	4	0	0	0	0	0	2	10	10	10	82.075	713	713	0	5.8114	By MS/MS						By MS/MS	8.3	0	0	0	0	0	3.6	1228500	1228500	0	0	0	0	0	0	33203	33203	0	0	0	0	0	0	167710	0	0	0	0	0	0	4	0	0	0	0	0	2	6				1137	6743;8708;12529;13608;15537	True;True;True;True;True	7130;9213;13341;14476;16522	25170;32320;46509;46510;50532;58248	22136;28354;40979;40980;44464;51227	22136;28354;40980;44464;51227	951	454
YJL063C	YJL063C	1	1	1	sp|YJL063C|MRPL8_YEAST NCSL01000002.1 111046-111762 ORF Verified Mitochondrial ribosomal protein of the large subunit GN=MRPL8 PE=1 SV=1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	5.9	5.9	5.9	27.005	238	238	0	12.124	By MS/MS						By MS/MS	5.9	0	0	0	0	0	5.9	1433600	1188900	0	0	0	0	0	244710	130330	108080	0	0	0	0	0	22246	0	0	0	0	0	0	244710	2	0	0	0	0	0	1	3				1138	544	True	576	2280;2281	1990;1991;1992	1992		
YJL066C	YJL066C	7	7	7	sp|YJL066C|MPM1_YEAST NCSL01000002.1 109406-110164 ORF Verified Mitochondrial intermembrane space protein of unknown function GN=MPM1 PE=1 SV=1	1	7	7	7	6	1	2	1	5	4	4	6	1	2	1	5	4	4	6	1	2	1	5	4	4	42.1	42.1	42.1	28.484	252	252	0	34.213	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	36.9	7.1	15.5	6.7	29.4	22.6	21.4	26765000	8367600	489150	1057300	0	12922000	3042400	886970	2058900	643660	37627	81334	0	993970	234030	68229	1124600	286020	755090	0	2491400	1292500	1068700	9	1	0	1	6	4	3	24				1139	518;1803;2037;4453;6852;8686;13872	True;True;True;True;True;True;True	549;1905;1906;2160;4704;7243;9190;14761	2182;2183;2184;2185;2186;2187;2188;2189;2190;7032;7033;7034;7035;7779;7780;16765;16766;25604;25605;25606;25607;25608;32242;32243;51447;51448;51449;51450	1907;1908;1909;1910;1911;1912;1913;6257;6258;6259;6912;14726;14727;14728;22502;22503;22504;22505;22506;22507;22508;28293;28294;45269;45270	1910;6258;6912;14727;22503;28293;45269	952	67
YJL068C	YJL068C	7	7	7	sp|YJL068C|dubious548_YEAST NCSL01000002.1 108304-109203 ORF Verified Esterase that can function as an S-formylglutathione hydrolase; non-essential intracellular esterase; may be involved in the detoxification of formaldehyde, which can be metabolized to S	1	7	7	7	7	0	0	0	0	0	2	7	0	0	0	0	0	2	7	0	0	0	0	0	2	27.8	27.8	27.8	33.934	299	299	0	7.8764	By MS/MS						By MS/MS	27.8	0	0	0	0	0	6.7	5510200	5070700	0	0	0	0	0	439430	344390	316920	0	0	0	0	0	27465	471330	0	0	0	0	0	660340	8	0	0	0	0	0	1	9				1140	311;1139;5495;6416;8766;13843;15716	True;True;True;True;True;True;True	328;1213;5817;6785;9273;14727;16713	1314;4608;20833;24011;32491;32492;51307;51308;58981	1149;1150;4059;18298;21138;28502;28503;45152;51864	1149;4059;18298;21138;28502;45152;51864	953	28
YJL074C	YJL074C	23	23	23	sp|YJL074C|SMC3_YEAST NCSL01000002.1 94446-98138 ORF Verified Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically c	1	23	23	23	20	9	3	2	7	3	9	20	9	3	2	7	3	9	20	9	3	2	7	3	9	23.8	23.8	23.8	141.38	1230	1230	0	72.924	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21	10.5	4.1	1.8	8.2	3.7	8	39067000	15254000	8117800	3946500	67413	7451500	2017400	2212200	620110	242130	128850	62642	1070.1	118280	32022	35114	1914100	2342100	1207200	0	1644700	1360600	2458600	25	6	1	1	3	2	8	46				1141	982;2632;2647;2706;2945;4873;5673;6487;6563;8025;8378;8414;8620;8673;9452;9453;10839;11015;12117;12352;14858;15063;15100	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1050;2789;2804;2863;3127;5150;6004;6861;6941;8483;8865;8902;9123;9176;10068;10069;11555;11739;12897;13151;15808;16020;16060	3987;10158;10159;10160;10161;10162;10230;10231;10441;10442;11364;18320;18321;18322;21403;21404;21405;21406;24264;24591;29830;29831;29832;29833;29834;29835;31064;31065;31066;31243;31244;31245;31246;32048;32049;32050;32051;32201;32202;35131;35132;40415;41082;41083;44882;44883;45810;45811;55597;55598;55599;55600;56395;56396;56512	3509;9062;9063;9064;9131;9307;10152;16088;16089;18832;18833;18834;18835;21344;21345;21644;26206;27249;27250;27251;27252;27253;27419;27420;27421;27422;28135;28136;28137;28138;28266;28267;28268;30778;30779;35559;36156;36157;36158;39507;40334;40335;48956;49644;49645;49741	3509;9063;9131;9307;10152;16088;18833;21345;21644;26206;27252;27420;28136;28267;30778;30779;35559;36157;39507;40335;48956;49644;49741	954;955;956	200;855;984
YJL076W	YJL076W	10	10	10	sp|YJL076W|NET1_YEAST NCSL01000002.1 90534-94103 ORF Verified Core subunit of the RENT complex; involved in nucleolar silencing and telophase exit; stimulates transcription by RNA polymerase I and regulates nucleolar structure; NET1 has a paralog, TOF2, th	1	10	10	10	8	0	0	0	1	0	8	8	0	0	0	1	0	8	8	0	0	0	1	0	8	11.2	11.2	11.2	128.55	1189	1189	0	8.5431	By MS/MS				By matching		By MS/MS	9	0	0	0	0.8	0	9.3	6170200	4311400	0	0	0	1165400	0	693500	97940	68434	0	0	0	18498	0	11008	480930	0	0	0	0	0	801140	6	0	0	0	0	0	7	13				1142	88;2554;8302;9706;11508;12479;12528;12638;12660;14325	True;True;True;True;True;True;True;True;True;True	89;2706;8779;10349;12254;13287;13340;13457;13481;15249	396;397;9909;9910;30803;36051;36052;42495;46278;46279;46508;46911;46912;46975;46976;53653;53654	333;8834;8835;27027;31628;31629;37377;40769;40770;40978;41335;41388;47263;47264	333;8835;27027;31628;37377;40769;40978;41335;41388;47264	957;958	300;303
YJL080C	YJL080C	38	38	38	sp|YJL080C|SCP160_YEAST NCSL01000002.1 80779-84447 ORF Verified Essential RNA-binding G protein effector of mating response pathway; ligand-activated RNA-binding protein that delivers RNAs involved in polarization and perpetualizing mating signal to shmoo 	1	38	38	38	36	7	6	1	7	5	13	36	7	6	1	7	5	13	36	7	6	1	7	5	13	38.4	38.4	38.4	134.81	1222	1222	0	218.92	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.2	8.8	7.7	1	8	5.9	12.4	72127000	55605000	4857400	3149300	0	3758400	2006700	2749700	1001800	772300	67464	43741	0	52200	27871	38190	7141800	1680700	927620	0	924570	1254400	2335500	46	5	2	1	5	3	11	73				1143	254;872;1847;1900;2264;2708;3272;3427;3700;3961;4088;4274;4664;4958;4983;5810;6639;6952;7135;7155;7209;7932;8007;8977;8978;9496;9504;9794;9847;11427;12868;13026;13286;13490;13979;14420;15984;15985	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	268;269;937;1953;2014;2404;2865;3469;3634;3919;4187;4316;4514;4924;5243;5269;6144;7021;7350;7546;7566;7622;8387;8464;8465;9493;9494;10127;10138;10139;10444;10501;12168;13696;13864;14136;14353;14872;15353;16995;16996	1119;1120;3532;7153;7154;7341;7342;8664;8665;8666;8667;8668;8669;10445;10446;12551;12552;12553;12554;12555;13098;14076;14991;14992;15462;16073;17557;17558;18682;18683;18793;21871;21872;21873;21874;21875;21876;24829;24830;24831;24832;24833;24834;24835;25969;26560;26602;26759;29388;29389;29772;29773;29774;33275;33276;33277;33278;35327;35328;35329;35352;35353;36309;36498;36499;42265;47722;47723;48267;49225;50127;51874;54029;54030;59876;59877;59878;59879;59880;59881	972;973;3109;6372;6373;6538;6539;6540;7708;7709;7710;7711;7712;7713;7714;9310;9311;11140;11141;11142;11621;12438;13248;13651;14151;15410;15411;16396;16397;16503;19259;19260;19261;19262;19263;19264;21848;21849;21850;21851;22811;23311;23351;23468;25794;26161;26162;26163;26164;29163;29164;29165;29166;30957;30958;30973;30974;31851;32021;32022;37160;42035;42036;42498;43341;44112;45646;47615;47616;52643;52644;52645;52646	972;3109;6372;6540;7709;9310;11140;11621;12438;13248;13651;14151;15411;16396;16503;19261;21849;22811;23311;23351;23468;25794;26161;29163;29165;30957;30974;31851;32022;37160;42036;42498;43341;44112;45646;47616;52644;52645	959;960;961;962	586;637;785;816
YJL081C	YJL081C	6	6	6	sp|YJL081C|ARP4_YEAST NCSL01000002.1 79040-80509 ORF Verified Nuclear actin-related protein involved in chromatin remodeling; component of chromatin-remodeling enzyme complexes GN=ARP4 PE=1 SV=1	1	6	6	6	5	0	0	0	0	1	1	5	0	0	0	0	1	1	5	0	0	0	0	1	1	18.4	18.4	18.4	54.831	489	489	0	6.2585	By MS/MS					By matching	By MS/MS	15.5	0	0	0	0	2.2	2.9	2241000	1977400	0	0	0	0	188790	74850	89640	79094	0	0	0	0	7551.7	2994	269940	0	0	0	0	0	0	5	0	0	0	0	0	2	7				1144	1096;3375;11966;12829;15207;15715	True;True;True;True;True;True	1169;3575;12736;13656;16173;16712	4422;12898;44320;47561;56902;58979;58980	3895;11448;38996;41891;50084;50085;51863	3895;11448;38996;41891;50085;51863		
YJL082W	YJL082W	3	3	3	sp|YJL082W|IML2_YEAST NCSL01000002.1 76423-78618 ORF Verified Protein required for clearance of inclusion bodies; localizes to the inclusion bodies formed under protein misfolding stress; the authentic, non-tagged protein is detected in highly purified mit	1	3	3	3	3	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	5.5	5.5	5.5	82.535	731	731	0	4.2141	By MS/MS							5.5	0	0	0	0	0	0	565210	565210	0	0	0	0	0	0	17128	17128	0	0	0	0	0	0	77160	0	0	0	0	0	0	3	0	0	0	0	0	0	3				1145	634;941;4646	True;True;True	673;1009;4906	2630;3802;17517	2293;3353;15366	2293;3353;15366		
YJL085W	YJL085W	2	2	2	sp|YJL085W|EXO70_YEAST NCSL01000002.1 68063-69934 ORF Verified Subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis prior to SNARE-mediated fusion; PtdIns[4,5]	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	3.7	3.7	3.7	71.293	623	623	0.0010875	1.7951	By MS/MS							3.7	0	0	0	0	0	0	578280	578280	0	0	0	0	0	0	17524	17524	0	0	0	0	0	0	78945	0	0	0	0	0	0	3	0	0	0	0	0	0	3				1146	11250;16095	True;True	11986;17109	41855;60252	36791;36792;52958	36791;52958		
YJL088W	YJL088W	9	9	9	sp|YJL088W|ARG3_YEAST NCSL01000002.1 64036-65052 ORF Verified Ornithine carbamoyltransferase; also known as carbamoylphosphate:L-ornithine carbamoyltransferase; catalyzes the biosynthesis of the arginine precursor citrulline GN=ARG3 PE=1 SV=1	1	9	9	9	9	0	0	0	0	2	1	9	0	0	0	0	2	1	9	0	0	0	0	2	1	42.6	42.6	42.6	37.804	338	338	0	73.264	By MS/MS					By MS/MS	By MS/MS	42.6	0	0	0	0	8.9	3.8	10088000	9257500	0	0	0	0	381290	448820	560420	514300	0	0	0	0	21183	24934	1226900	0	0	0	0	0	0	11	0	0	0	0	2	1	14				1147	1036;2393;4442;5425;6593;11828;12833;13657;15346	True;True;True;True;True;True;True;True;True	1106;2540;4693;5743;6971;6972;12595;13660;14534;16322	4196;9184;16718;16719;20587;24685;24686;43765;43766;43767;47575;50717;57501	3693;8205;14686;14687;14688;14689;18095;21729;21730;21731;38505;38506;38507;41903;44636;50584	3693;8205;14688;18095;21730;38506;41903;44636;50584	963	86
YJL089W	YJL089W	2	2	2	sp|YJL089W|SIP4_YEAST NCSL01000002.1 61165-63654 ORF Verified C6 zinc cluster transcriptional activator; binds to the carbon source-responsive element (CSRE) of gluconeogenic genes; involved in the positive regulation of gluconeogenesis; regulated by Snf1p	1	2	2	2	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	4.1	4.1	4.1	95.948	829	829	0.0011031	1.8871	By MS/MS	By MS/MS	By MS/MS					1.6	2.5	2.5	0	0	0	0	46300000	261070	45087000	952180	0	0	0	0	1361800	7678.5	1326100	28005	0	0	0	0	0	0	146800	0	0	0	0	1	5	1	0	0	0	0	7				1148	10043;14801	True;True	10706;15747	37200;55398;55399;55400;55401;55402;55403;55404	32609;48781;48782;48783;48784;48785;48786	32609;48784		
YJL092W	YJL092W	2	2	2	sp|YJL092W|SRS2_YEAST NCSL01000002.1 52664-56188 ORF Verified DNA helicase and DNA-dependent ATPase; involved in DNA repair and checkpoint recovery, needed for proper timing of commitment to meiotic recombination and transition from Meiosis I to II; blocks	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	3.6	3.6	3.6	134.4	1174	1174	0.0090304	0.99582	By MS/MS							3.6	0	0	0	0	0	0	4506300	4506300	0	0	0	0	0	0	71528	71528	0	0	0	0	0	0	615180	0	0	0	0	0	0	2	0	0	0	0	0	0	2				1149	1374;5968	True;True	1459;6307	5511;22451	4911;19747	4911;19747		
YJL094C	YJL094C	3	3	3	sp|YJL094C|KHA1_YEAST NCSL01000002.1 47062-49683 ORF Verified Putative K+/H+ antiporter; has a probable role in intracellular cation homeostasis; localized to Golgi vesicles and detected in highly purified mitochondria in high-throughput studies GN=KHA1 PE	1	3	3	3	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	4.6	4.6	4.6	97.096	873	873	0.003038	1.3639	By MS/MS						By MS/MS	3.6	0	0	0	0	0	1	941140	941140	0	0	0	0	0	0	26890	26890	0	0	0	0	0	0	128480	0	0	0	0	0	0	2	0	0	0	0	0	1	3				1150	1871;6720;11302	True;True;True	1980;7106;12039	7245;25092;41966	6454;22065;36889	6454;22065;36889		
YJL097W	YJL097W	1	1	1	sp|YJL097W|PHS1_YEAST NCSL01000002.1 40841-41494 ORF Verified Essential 3-hydroxyacyl-CoA dehydratase of the ER membrane; involved in elongation of very long-chain fatty acids; evolutionarily conserved, similar to mammalian PTPLA and PTPLB; involved in sph	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	6	6	6	24.51	217	217	0.0015907	1.6449	By MS/MS						By MS/MS	6	0	0	0	0	0	6	1283600	1283600	0	0	0	0	0	0	183380	183380	0	0	0	0	0	0	175230	0	0	0	0	0	0	1	0	0	0	0	0	1	2				1151	12443	True	13248	46137;46138	40633;40634	40634		
YJL102W	YJL102W	1	1	1	sp|YJL102W|MEF2_YEAST NCSL01000002.1 26554-29013 ORF Verified Mitochondrial elongation factor involved in translational elongation GN=MEF2 PE=1 SV=1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2.4	2.4	2.4	91.32	819	819	0	20.997	By MS/MS							2.4	0	0	0	0	0	0	422110	422110	0	0	0	0	0	0	13191	13191	0	0	0	0	0	0	57625	0	0	0	0	0	0	1	0	0	0	0	0	0	1				1152	6876	True	7270	25692	22577	22577		
YJL106W	YJL106W	4	4	4	sp|YJL106W|IME2_YEAST NCSL01000002.1 16645-18582 ORF Verified Serine/threonine protein kinase involved in activation of meiosis; associates with Ime1p and mediates its stability, activates Ndt80p; IME2 expression is positively regulated by Ime1p; human CDK	1	4	4	4	1	0	1	0	2	1	1	1	0	1	0	2	1	1	1	0	1	0	2	1	1	12.4	12.4	12.4	73.615	645	645	0	2.7041	By MS/MS		By matching		By MS/MS	By matching	By MS/MS	4	0	4	0	6.4	1.4	2	3654900	1268300	0	1200400	0	901070	150370	134810	121830	42275	0	40013	0	30036	5012.4	4493.6	0	0	0	0	217160	0	0	1	0	0	0	2	0	1	4				1153	4820;7769;7931;8577	True;True;True;True	5093;8217;8386;9077	18152;28846;29386;29387;31914;31915	15933;25317;25793;28009	15933;25317;25793;28009		
